Comment,Designator,Footprint,LibRef,Quantity 1 board,LCSC
CR2032,BT1,BAT_CR2032_WT,CR2032,1,C5290173
"100nF, 100nF DNP, 100nF_DNP","C1, C2, C3, C5, C6, C9, C11, C14, C17, C18, C20, C21, C22, C23, C24, C25, C26, C33, C37, C39, C41, C43, C44, C45, C47, C48, C49, C51, C57, C59, C60, C61, C63, C64, C72, C75, C76, C77, C78, C81, C87, C88, C93, C97, C100, C103, C104, C105, C106, C108, C114, C115, C117, C122, C123, C124, C134, C135, C140, C145, C146, C151, C161, C165, C170, C172, C173, C175, C177, C180, C181, C182, C183, C185, C186, C188, C189, C190, C191, C192, C193, C196, C199, C200, C203, C209, C212, C217, C221, C222, C224, C227, C230, C233, C235, C236, C237, C240, C243, C244, C249, C250, C251, C252, C254, C264, C265, C266, C267, C270, C271, C273, C275, C276, C277, C279, C280, C281, C282, C285, C287, C288, C289, C290, C292, C293, C294, C295, C296, C297, C298, C300, C301, C310, C312, C317, C318, C319, C323, C327, C328",0402C,Cap100nF,141,C60474
100pF,"C4, C31",0402C,Cap100pF,2,C541374
1uF,"C7, C19, C29, C32, C34, C35, C83, C91, C107, C147, C149, C194, C197, C198, C206, C245, C246, C247, C257, C258, C259, C260, C311, C313",0402C,Cap1uF,24,C76999
4.7nF,"C8, C109, C112",0402C,"Cap4700pF, Cap4.7nF",3,C106208
"47pF, 4.7uF","C10, C13, C133",0402C,"Cap47pF, Cap4.7uF_25V",3,C541362
22uF,"C12, C27, C137, C150, C166, C168, C169, C171, C176, C201, C202, C223, C225, C226, C239",0603C,Cap22uF,15,C86295
100nF,"C15, C36, C53, C54, C55, C56, C68, C69, C70, C71, C73, C84, C85, C129, C131, C144, C148, C152, C154, C155, C156, C157, C158, C195, C207, C213, C303, C324, C325, C329",0402C,Cap100nF_50V,30,C110251
10nF,C16,0603C,Cap10nF_100V0603,1,C107059
100nF,C28,0603C,Cap100nF_100V0603,1,C113803
220nF,"C30, C139, C141, C142, C143, C248",0402C,Cap220nF,6,C326836
4.7uF,"C38, C40, C42, C46, C50, C52, C58, C62, C74, C82, C94, C96, C253, C263, C268, C269, C272, C274, C278",0402C,Cap4.7uF_10V,19,C368809
2.2uF,"C65, C66, C67, C204, C208",0805C,Cap2.2uF_100V,5,C2981733
33pF,"C79, C80, C89, C99, C116, C119, C120, C121, C174, C184, C255, C256, C261, C262","0402C, 0402",Cap33pF,14,C107005
18pF,C86,0402C,Cap18pF,1,C106202
10pF,C92,0402C,Cap10pF,1,C2168196
220pF,"C98, C241, C242",0402C,Cap220pF,3,C107025
"15pF, 15pF_DNP",C101,0402C,Cap15pF,1,C106997
680pF,"C110, C111",0402C,Cap680pF,2,C107030
10nF,"C118, C304, C305, C306, C307",0402C,Cap10nF,5,C541371
100uF,"C125, C126, C127, C128, C302",0805C,Cap100uF,5,C141660
22uF,"C130, C178, C179, C205, C211, C284, C326",0805C,Cap22uF_25V,7,C86816
22uF,"C132, C153, C159, C218, C220, C291, C299",0603C,Cap22uF_16V,7,C2762594
56pF,"C138, C160, C163, C167",0402C,Cap56pF,4,C107007
220uF,"C214, C308, C309",CAPMP7343X310N,T491D227K016AT,3,C122304
1nF,"C231, C232, C286, C321, C322",1206C,Cap1nF_2kV,5,C23631
22nF,C320,0402C,Cap22nF,1,C107026
MBR0540,D1,SOD_123,MBR0540,1,C116159
LMBR140ET1G,D2,SOD_323,LMBR140ET1G,1,C20622201
SS54,"D3, D7",DO-214AC,SS54,2,C22452
BAT54C,D4,SOT_233_N,BAT54C,1,C2135
LED_G,"D5, D6, D8, D9, D15, D16, D18, D19",0603LED_G,LedG0603,8,C3014182
SMAJ58A,D11,DO-214AC,SMAJ58A_1,1,C2980408
1N4148W,D13,SOD_123,1N4148W,1,C391324
BAT54HT1G,D17,SOT323,BAT54HT1G,1,C21107
SI9407BDY-T1-E3,"DMB, DPoE1",SOIC127P600X175-8N,SI9407BDY-T1-E3,2,C727736
