Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation
R318,10R,B,402,40.7251mm,23.4376mm,90
R299,200R,B,402,44.0999mm,26.3124mm,270
R298,200R,B,402,35.6999mm,26.3124mm,270
R294,1k,B,402,37.3124mm,23.0001mm,180
R293,200R,B,402,47.0001mm,28.3876mm,90
R250,200R,B,402,38.6001mm,28.3876mm,90
R243,510R,B,402,35.6999mm,24.1124mm,270
R226,4.7K,B,402,40.0249mm,28.3874mm,270
R208,4.7K,B,402,39.1876mm,22.9999mm,0
R202,4.7K,B,402,48.3999mm,28.3874mm,270
R201,4.7K,B,402,47.5876mm,22.9999mm,0
Q10,BC807,B,SOT-23,47.0000mm,25.5000mm,90
Q9,BC807,B,SOT-23,38.6000mm,25.5000mm,90
C233,100nF,T,0402C,60.0750mm,35.7500mm,0
C230,100nF,T,0402C,62.8750mm,35.7500mm,180
C221,100nF,T,0402C,43.0500mm,41.7500mm,180
U50,TLP185,T,SOP-4-2.54MM,53.5250mm,25.1250mm,180
U55,TLP185,T,SOP-4-2.54MM,47.0250mm,25.1250mm,180
U54,TLP185,T,SOP-4-2.54MM,34.5250mm,25.1250mm,180
U53,TLP185,T,SOP-4-2.54MM,38.7250mm,25.1250mm,180
U52,TLP185,T,SOP-4-2.54MM,42.9250mm,25.1250mm,180
R238,510R,B,402,44.0999mm,24.1124mm,270
R198,10R,B,402,59.8251mm,23.4376mm,90
R194,200R,B,402,63.1999mm,26.3124mm,270
R191,200R,B,402,54.7999mm,26.3124mm,270
R187,1k,B,402,56.4124mm,23.0001mm,180
R186,200R,B,402,66.1001mm,28.3876mm,90
R179,200R,B,402,57.7001mm,28.3876mm,90
R176,510R,B,402,54.7999mm,24.1124mm,270
R175,510R,B,402,63.1999mm,24.1124mm,270
R148,4.7K,B,402,56.4999mm,28.3874mm,270
R144,4.7K,B,402,58.2876mm,22.9999mm,0
R23,4.7K,B,402,65.0249mm,28.4124mm,270
R16,4.7K,B,402,66.6876mm,22.9999mm,0
Q5,BC807,B,SOT-23,66.1000mm,25.5000mm,90
Q4,BC807,B,SOT-23,57.7000mm,25.5000mm,90
U49,TLP185,T,SOP-4-2.54MM,57.7250mm,25.1250mm,180
U48,TLP185,T,SOP-4-2.54MM,61.9250mm,25.1250mm,180
