"Share","Type","Name","FullName","SizeMB","Modified"
"Browser Station","DIR","rk3568-VM","\\CloudMate\Browser Station\admin\download_2023-07-19_17-28-09\rk3568-VM","","11/1/2024 3:41:35 PM"
"Browser Station","DIR","Ubuntu 64_RK3568","\\CloudMate\Browser Station\admin\download_2023-07-19_17-28-09\rk3568-VM\Ubuntu 64_RK3568","","11/1/2024 3:41:35 PM"
"NeoPOS","DIR","android.rockchip.update.service","\\CloudMate\NeoPOS\Archiving\adb\FS\data\misc\profiles\cur\0\android.rockchip.update.service","","2/12/2024 5:45:53 PM"
"NeoPOS","DIR","com.rockchip.overlay.pinnerservice","\\CloudMate\NeoPOS\Archiving\adb\FS\data\misc\profiles\cur\0\com.rockchip.overlay.pinnerservice","","2/12/2024 5:44:17 PM"
"NeoPOS","FILE","Android11+source+code+for+board+Rockchip+OK3568-C+FORLINX..doc","\\CloudMate\NeoPOS\Archiving\Confluance\Android11+source+code+for+board+Rockchip+OK3568-C+FORLINX..doc","1.21","2/19/2024 9:47:50 AM"
"NeoPOS","FILE","Android11+source+code+for+Rockchip+RK3568J+Xstrive.doc","\\CloudMate\NeoPOS\Archiving\Confluance\Android11+source+code+for+Rockchip+RK3568J+Xstrive.doc","0.02","2/19/2024 10:03:23 AM"
"NeoPOS","FILE","device_rockchip.zip","\\CloudMate\NeoPOS\Archiving\Confluance\gps\device_rockchip.zip","45.07","2/19/2024 10:30:17 AM"
"NeoPOS","FILE","rk3568b1 Xstrive.docx","\\CloudMate\NeoPOS\Archiving\Confluance\language\rk3568b1 Xstrive.docx","0.02","2/19/2024 10:07:50 AM"
"NeoPOS","FILE","Rockchip_Developer_Guide_I2C_EN.pdf","\\CloudMate\NeoPOS\Archiving\Confluance\NFC NXP PN7150 Android Porting Guidelines\Rockchip_Developer_Guide_I2C_EN.pdf","0.3","2/19/2024 10:01:54 AM"
"NeoPOS","FILE","Rockchip_Developer_Guide_Linux_IO_DOMAIN_CN.pdf","\\CloudMate\NeoPOS\IO-Domain\Rockchip_Developer_Guide_Linux_IO_DOMAIN_CN.pdf","0.74","8/14/2023 9:21:26 AM"
"NeoPOS","FILE","Rockchip_PX30_Introduction_IO_Power_Domains_Configuration.pdf","\\CloudMate\NeoPOS\IO-Domain\Rockchip_PX30_Introduction_IO_Power_Domains_Configuration.pdf","0.53","8/14/2023 9:21:26 AM"
"NeoPOS","FILE","Rockchip_RK3288_Introduction_IO_Power_Domains_Configuration.pdf","\\CloudMate\NeoPOS\IO-Domain\Rockchip_RK3288_Introduction_IO_Power_Domains_Configuration.pdf","0.44","8/14/2023 9:21:26 AM"
"NeoPOS","FILE","Rockchip_RK3326_Introduction_IO_Power_Domains_Configuration.pdf","\\CloudMate\NeoPOS\IO-Domain\Rockchip_RK3326_Introduction_IO_Power_Domains_Configuration.pdf","0.5","8/14/2023 9:21:26 AM"
"NeoPOS","FILE","Rockchip_RK3399_Introduction_IO_Power_Domains_Configuration.pdf","\\CloudMate\NeoPOS\IO-Domain\Rockchip_RK3399_Introduction_IO_Power_Domains_Configuration.pdf","0.45","8/14/2023 9:21:26 AM"
"NeoPOS","FILE","Rockchip_RK3399Pro_Introduction_IO_Power_Domains_Configuration.pdf","\\CloudMate\NeoPOS\IO-Domain\Rockchip_RK3399Pro_Introduction_IO_Power_Domains_Configuration.pdf","0.47","8/14/2023 9:21:26 AM"
"NeoPOS","FILE","Rockchip_RK356X_Introduction_IO_Power_Domains_Configuration.pdf","\\CloudMate\NeoPOS\IO-Domain\Rockchip_RK356X_Introduction_IO_Power_Domains_Configuration.pdf","0.97","8/14/2023 9:21:26 AM"
